||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Bahçelievler/Bahçelievler Bel./Kocasinan Merkez Mah.)-40182|72199.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Şirinevler Mah.)-40178|56884.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Siyavuşpaşa Mah.)-40179|66117.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Soğanlı Mah.)-40180|71585.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Yenibosna Merkez Mah.)-40183|34522.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Zafer Mah.)-40186|85612.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 1. Kısım Mah.)-40202|1677.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 2-5-6. Kısım Mah.)-40194|13528.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 3-4-11. Kısım Mah.)-40201|8237.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 7-8-9-10. Kısım Mah.)-40196|23889.0|
|İstanbul(Bakırköy/Bakırköy Bel./Basınköy Mah.)-40200|6113.0|
|İstanbul(Bakırköy/Bakırköy Bel./Cevizlik Mah.)-40192|5300.0|
|İstanbul(Bakırköy/Bakırköy Bel./Kartaltepe Mah.)-40197|38375.0|
|İstanbul(Bakırköy/Bakırköy Bel./Osmaniye Mah.)-40188|24233.0|
|İstanbul(Bakırköy/Bakırköy Bel./Sakızağacı Mah.)-40191|8166.0|
|İstanbul(Bakırköy/Bakırköy Bel./Şenlikköy Mah.)-40199|28292.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yenimahalle Mah.)-40190|6982.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yeşilköy Mah.)-40189|24134.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yeşilyurt Mah.)-40195|6923.0|
|İstanbul(Bakırköy/Bakırköy Bel./Zeytinlik Mah.)-40193|5520.0|
|İstanbul(Bakırköy/Bakırköy Bel./Zuhuratbaba Mah.)-40198|21068.0|
|İstanbul(Başakşehir/Başakşehir Bel./Altınşehir Mah.)-40598|14295.0|
|İstanbul(Başakşehir/Başakşehir Bel./Bahçeşehir 1. Kısım Mah.)-40871|19739.0|
|İstanbul(Başakşehir/Başakşehir Bel./Bahçeşehir 2. Kısım Mah.)-40872|38715.0|
|İstanbul(Başakşehir/Başakşehir Bel./Başak Mah.)-40357|69154.0|
|İstanbul(Başakşehir/Başakşehir Bel./Başakşehir Mah.)-40581|53587.0|
|İstanbul(Başakşehir/Başakşehir Bel./Güvercintepe Mah.)-40597|52164.0|
|İstanbul(Başakşehir/Başakşehir Bel./İkitelli Osb Mah.)-139666|58.0|
|İstanbul(Başakşehir/Başakşehir Bel./Kayabaşı Mah.)-40583|65444.0|
|İstanbul(Başakşehir/Başakşehir Bel./Şahintepe Mah.)-40584|35347.0|
|İstanbul(Başakşehir/Başakşehir Bel./Şamlar Mah.)-191991|1360.0|
|İstanbul(Başakşehir/Başakşehir Bel./Ziya Gökalp Mah.)-40585|19947.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Altıntepsi Mah.)-40207|27959.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Cevatpaşa Mah.)-40203|19039.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./İsmet Paşa Mah.)-40209|14472.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Kartaltepe Mah.)-40211|44363.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Kocatepe Mah.)-40212|21318.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Muratpaşa Mah.)-40213|34110.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Ortamahalle Mah.)-40204|15050.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Terazidere Mah.)-40206|15622.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Vatan Mah.)-40205|10320.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Yenidoğan Mah.)-40208|18665.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Yıldırım Mah.)-40210|52230.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Abbasağa Mah.)-40219|5360.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Akat Mah.)-40234|15794.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Arnavutköy Mah.)-40231|4082.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Balmumcu Mah.)-40223|4129.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Bebek Mah.)-40232|5932.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Cihannüma Mah.)-40217|3946.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Dikilitaş Mah.)-40221|17237.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Etiler Mah.)-40233|12403.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Gayrettepe Mah.)-40222|14357.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Konaklar Mah.)-40236|15776.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Kültür Mah.)-40229|4892.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Kuruçeşme Mah.)-40228|3166.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Levazım Mah.)-40226|6168.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Levent Mah.)-40235|3225.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Mecidiye Mah.)-40224|10818.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Muradiye Mah.)-40216|5059.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Nisbetiye Mah.)-40230|12551.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Ortaköy Mah.)-40225|9571.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Sinanpaşa Mah.)-40215|2567.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Türkali Mah.)-40218|10541.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Ulus Mah.)-40227|7256.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Vişnezade Mah.)-40214|8304.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Yıldız Mah.)-40220|6222.0|
|İstanbul(Beykoz/Beykoz Bel./Acarlar Mah.)-40250|7349.0|
|İstanbul(Beykoz/Beykoz Bel./Akbaba Mah.)-191701|2727.0|
|İstanbul(Beykoz/Beykoz Bel./Alibahadır Mah.)-191703|751.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolufeneri Mah.)-191705|710.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolu Hisarı Mah.)-40243|2643.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolu Kavağı Mah.)-40256|1874.0|
|İstanbul(Beykoz/Beykoz Bel./Baklacı Mah.)-40257|3022.0|
|İstanbul(Beykoz/Beykoz Bel./Bozhane Mah.)-191725|472.0|
|İstanbul(Beykoz/Beykoz Bel./Çamlıbahçe Mah.)-40253|6427.0|
|İstanbul(Beykoz/Beykoz Bel./Çengeldere Mah.)-40258|5001.0|
|İstanbul(Beykoz/Beykoz Bel./Çiftlik Mah.)-40259|5294.0|
|İstanbul(Beykoz/Beykoz Bel./Çiğdem Mah.)-40240|11648.0|
|İstanbul(Beykoz/Beykoz Bel./Çubuklu Mah.)-40241|21266.0|
|İstanbul(Beykoz/Beykoz Bel./Cumhuriyet Mah.)-191727|1949.0|
|İstanbul(Beykoz/Beykoz Bel./Dereseki Mah.)-191709|1500.0|
|İstanbul(Beykoz/Beykoz Bel./Elmalı Mah.)-191711|2890.0|
|İstanbul(Beykoz/Beykoz Bel./Fatih Mah.)-40260|4370.0|
|İstanbul(Beykoz/Beykoz Bel./Göksu Mah.)-40244|2817.0|
|İstanbul(Beykoz/Beykoz Bel./Göllü Mah.)-191729|265.0|
|İstanbul(Beykoz/Beykoz Bel./Görele Mah.)-191713|1998.0|
|İstanbul(Beykoz/Beykoz Bel./Göztepe Mah.)-40246|8347.0|
