ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1421,KADIKÖY,Sahil Veteriner Hizmetleri,Veteriner,Hamiyet Yüceses Sk. No:4 SUADÝYE/KADIKÖY,0216 355 10 46,www.sahilveteriner.net,,0,Yok,SUADÝYE,40.96107223800004,29.07600820300007
1186,BEYOÐLU,Özel Universal Hospital Grup Ýtalyan Giovanni Alberto Agnelli Hastanesi,Özel Hastane,Defterdar Yokuþu No:17 FÝRUZAÐA/BEYOÐLU,0212 292 35 01,www.uhg.com.tr,Var,,Var,FÝRUZAÐA,41.02878151800007,28.981433079000055
2015,TUZLA,Tuzla Merkez Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Ýstasyon Cad. No:71 POSTANE/TUZLA,0216 395 23 30,,Var,5,,POSTANE,40.82119848900004,29.30831433700007
1659,ÞÝLE,Þile Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Ayazma Cad. ÇAVUÞ/ÞÝLE,0216 712 12 67,www.istanbulhalksagligi.gov.tr,,,Yok,ÇAVUÞ,41.17327560200005,29.607081359000063
1449,KARTAL,Kartal Koþuyolu Yüksek Ýhtisas Eðitim ve Araþtýrma Hastanesi,Eðitim Araþtýrma Hastanesi,Lütfi Kýrdar Cad. No: CEVÝZLÝ/KARTAL,0216 500 15 00,www.kosuyolu.gov.tr,Var,465,Yok,CEVÝZLÝ,40.91582445900008,29.171704356000077
1663,ÞÝÞLÝ,Özel Ýac Ýstanbul Aesthetic Týp Merkezi,Týp Merkezi Özel,Keskin Kalem Sk. No:1 ESENTEPE/ÞÝÞLÝ,0212 211 24 00,www.istanbulaestheticcenter.com,Var,8,Yok,ESENTEPE,41.06918643200004,29.00658198800005
2048,ARNAVUTKÖY,Özel Boðazköy Þifa Saðlýk Evi,Saðlýk Evi,Okul Yolu Sk. No:85 YUNUS EMRE/ARNAVUTKÖY,0212 684 00 09,,,,,YUNUS EMRE,41.18492590100004,28.760444834000054
1622,SÝLÝVRÝ,Büyük Çavuþlu Dr. Atakan Karanfil Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Güven Sk. No:55 BÜYÜK ÇAVUÞLU/SÝLÝVRÝ,0212 741 68 98,,Yok,0,,BÜYÜK ÇAVUÞLU,41.239097549000064,28.064357518000065
1604,SARIYER,75. Yýl Kilyos Kumköy Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Kale Cad. No:5 KUMKÖY/SARIYER,0212 201 24 26,,Yok,0,,KUMKÖY (KÝLYOS),41.245656534000034,29.03703060500004
1327,FATÝH,Çapa Anýl Medikal,Medikal,Börekçi Veli Sk. No:24 ÞEHREMÝNÝ/FATÝH,0212 585 61 98,,,,,ÞEHREMÝNÝ,41.01515005200008,28.932174348000046
