_id,NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
90,Halıcıoğlu (Abdüselam) Parkı,28.9448766620553997,41.0457605552084033,HALICIOĞLU,BEYOĞLU
91,Aynalı Kavak Semt Konağı Parkı,28.9556858530132004,41.0391945925543027,KEÇECİ PİRİ,BEYOĞLU
92,Fındıklı Parkı,28.9901291265538994,41.0314514855311998,ÖMER AVNİ,BEYOĞLU
93,2403 Sok. Yeşil Alan,28.8829768562413989,41.0984228487786964,ESENTEPE,SULTANGAZİ
94,Park,29.2920464889147993,40.8170019498098,POSTANE,TUZLA
95,Dr. Sadık Ahmet Parkı,28.6080989505694987,41.0042786931588026,PINARTEPE,BÜYÜKÇEKMECE
96,Ragıp Gümüşpala Cad. Yeşil Alan,28.9642157865410006,41.0195921325425985,YAVUZ SİNAN,FATİH
97,Park,28.0254482598263017,41.0967956255286992,DEĞİRMENKÖY İSMETPAŞA,SİLİVRİ
98,Gümüşyaka Büyük Bahçe Parkı,28.0513787027016015,41.0477038074483005,GÜMÜŞYAKA,SİLİVRİ
99,Krallık - Millet Parkı,28.0448422192413993,41.0478441072460001,GÜMÜŞYAKA,SİLİVRİ
100,Karanfil Parkı,28.8839151809625001,41.0985506484437977,ESENTEPE,SULTANGAZİ
101,Berrak Parkı,29.126601215153201,40.9995232365773035,TATLISU,ÜMRANİYE
102,Kaşif Kalkavan Parkı,29.140391916854,41.0014096726248027,TATLISU,ÜMRANİYE
103,Simge Parkı,29.226087670287999,40.8847341193474989,YENİ,PENDİK
104,Park,29.0775345988638989,41.0028808560138032,FETİH,ATAŞEHİR
105,Park,29.1530627577933998,40.9902148039393026,MEVLANA,ATAŞEHİR
106,Park,29.1541431223295007,40.9911763936221973,MEVLANA,ATAŞEHİR
107,Park,29.0782082717075987,41.0019717707046993,FETİH,ATAŞEHİR
108,Çocuk Parkı,29.1146636856644001,40.9831738123767977,KÜÇÜKBAKKALKÖY,ATAŞEHİR
109,Park,29.1201335665567989,40.9548007702083012,AYDINEVLER,MALTEPE
110,Park,28.9157762596938994,41.0015302664481993,KAZLIÇEŞME,ZEYTİNBURNU
111,Behçet Köseoğlu Parkı,29.1776467135067996,41.0180314306767997,NECİP FAZIL,ÜMRANİYE
112,Park,29.1026800040359994,41.0304148301344966,İNKILAP,ÜMRANİYE
113,Şehit Bülent Kocabıyık Parkı,29.0870142182632989,41.1073855831081971,ÇUBUKLU,BEYKOZ
114,Oklalı Köyü Park,28.4777541267705985,41.221008698332497,OKLALI,ÇATALCA
115,Güvercin-3 Parkı,29.0203828554589016,41.0786321500617007,LEVENT,BEŞİKTAŞ
116,Çalıkuşu Parkı,29.017880463494599,41.0760037791944015,LEVENT,BEŞİKTAŞ
117,Çınar Cad. Parkı,28.8128653206669014,41.0155021575987035,YENİBOSNA MERKEZ,BAHÇELİEVLER
118,Aziziye Parkı,29.0586154763225011,41.0289415793984986,BURHANİYE,ÜSKÜDAR
119,İzzetbey Parkı,29.0803973425589994,41.0215056252967969,BULGURLU,ÜSKÜDAR
120,Mimoza Parkı,29.0760020664754002,41.0151165400297018,BULGURLU,ÜSKÜDAR
121,Erdem Parkı,29.0492502165466995,41.0099033443942034,ACIBADEM,ÜSKÜDAR
122,Toygar Hamza Parkı,29.0214892776864986,41.0236241072774988,MİMAR SİNAN,ÜSKÜDAR
123,Park,29.0100701361004987,41.0221414845987979,AZİZ MAHMUT HÜDAYİ,ÜSKÜDAR
124,Coşkun Okul Parkı,29.0631652374121998,41.0268603537315997,KISIKLI,ÜSKÜDAR
125,Aydos Parkı,29.2559327526867996,40.9162487418534013,ERTUĞRUL GAZİ,PENDİK
126,Şehit Binbaşı Ömer Aktuğ Parkı,29.1563808720086008,40.9908232625270017,MEVLANA,ATAŞEHİR
127,Yaren Parkı,29.1367648176738996,40.9949963698232978,YENİŞEHİR,ATAŞEHİR
128,Şehit Er Girol Alpago Parkı,28.8213363172495995,41.0117969736671029,YENİBOSNA MERKEZ,BAHÇELİEVLER
129,Fatih Sultan Mehmet Mahallesi Muhtarlığı Parkı,29.1236932080220008,41.025756748783202,FATİH SULTAN MEHMET,ÜMRANİYE
130,Park,29.1651748993540991,41.0152800824714987,NECİP FAZIL,ÜMRANİYE
131,İBB Çay Bahçesi ve Parkı,28.2520705296465984,41.0781668187239006,YENİ,SİLİVRİ
132,Park,29.0709088218853999,40.9797400563714973,GÖZTEPE,KADIKÖY
133,Yunus Emre Parkı,29.2179616823374992,40.9293495713322031,UĞUR MUMCU,KARTAL
134,Park,29.0927505468185004,40.9685819909593008,KOZYATAĞI,KADIKÖY
135,Park,28.9454388070083013,41.0128474329642003,MOLLA GÜRANİ,FATİH
136,Silivrikapı Parkı,28.9245859665083991,41.0069374363966972,MEVLANAKAPI,FATİH
137,Park,28.9457576982659006,41.0378789928725993,AYVANSARAY,FATİH
138,Nadir Nadi Parkı,28.9356132746468013,41.0011486801044995,KOCA MUSTAFAPAŞA,FATİH
139,Mehmet Akif Ersoy Parkı,28.9321630566963997,40.9969973142708,KOCA MUSTAFAPAŞA,FATİH
140,Mehmet Ağa Parkı,28.9448264703577998,41.0269856397791983,BALAT,FATİH
141,Kumluk Parkı,28.9671301469381,41.003678296498002,ŞEHSUVAR BEY,FATİH
142,Küçükmustafa Paşa Parkı,28.9577639473926993,41.0255918615726003,YAVUZ SULTAN SELİM,FATİH
143,Kuzguncuk Parkı,29.0334421571836003,41.0391709797060997,KUZGUNCUK,ÜSKÜDAR
144,Şehit Yıldırım Özbir Parkı,28.8987190202328001,41.0327962380006994,TERAZİDERE,BAYRAMPAŞA
145,Terazidere Parkı,28.8986428778319002,41.0323251041051975,TERAZİDERE,BAYRAMPAŞA
146,60. Yıl Parkı,28.9034633755807988,41.0327115552887989,TERAZİDERE,BAYRAMPAŞA
147,Park,28.9016839379390014,41.0171668700139023,MALTEPE,ZEYTİNBURNU
148,Kazlıçeşme Sahil Parkı,28.9117712458424982,40.9865659844052033,KAZLIÇEŞME,ZEYTİNBURNU
149,Seyit Nizam Parkı,28.9089918072154006,41.0053403994071033,SEYİTNİZAM,ZEYTİNBURNU
150,H. Cevher  Karaer- H. Sezer Şehitler Parkı,28.9295468724683005,41.0086350661626966,SEYYİD ÖMER,FATİH
151,Meyveci Parkı,28.9287534343404005,41.0045689639640969,SİLİVRİKAPI,FATİH
152,Kırım Parkı,28.9244270181190011,41.0164988987548966,MEVLANAKAPI,FATİH
153,Seyid Ömer Havuzlu (1737 Ada) Park,28.9339433228727003,41.0081960256901965,SEYYİD ÖMER,FATİH
154,Kocamustafapaşa Parkı,28.9301107976028007,41.0038716227124027,SİLİVRİKAPI,FATİH
155,Özkaymaz Parkı,28.8975070883823015,41.061460778835901,YILDIRIM,BAYRAMPAŞA
156,Perşembe Pazarı Parkı,28.9710186782550991,41.0221290522059974,ARAP CAMİ,BEYOĞLU
157,Dereiçi Parkı,28.9517155061691014,41.0541086761649012,ÖRNEKTEPE,BEYOĞLU
158,Yeşil Alan,28.8436938100303983,41.0168154196957033,KOCASİNAN MERKEZ,BAHÇELİEVLER
159,Karaca Sok. Çocuk Parkı,28.8995382781232983,41.0591504066193025,KARTALTEPE,BAYRAMPAŞA
160,Pirimehmetpaşa Parkı,28.9475696308489994,41.0432506083553008,PİRİPAŞA,BEYOĞLU
161,Şehit Er Ramazan Paşa Göncü Parkı,28.8415658946207003,40.9898495270761032,ATAKÖY 7-8-9-10. KISIM,BAKIRKÖY
162,Kadı Mehmet Parkı,28.9628680883840985,41.0343110990878017,KADIMEHMET EFENDİ,BEYOĞLU
163,Ağaçlaraltı Parkı,28.9638249906954997,41.0449233312035986,KAPTANPAŞA,BEYOĞLU
164,Örnektepe Parkı,28.9550475647156986,41.0539666222088968,ÖRNEKTEPE,BEYOĞLU
165,Ata Garajı Parkı,28.9182755822571984,41.0008964316520021,KAZLIÇEŞME,ZEYTİNBURNU
166,Kadirova Parkı,29.3288368334866014,41.0853091182202022,ÖMERLİ,ÇEKMEKÖY
167,1414 Sok. Parkı,28.8955118362697014,41.1038864947419,GAZİ,SULTANGAZİ
168,Sirkeci Tramvay Yanı Yeşil Alan,28.9767386089657997,41.0142617300762993,HOCAPAŞA,FATİH
169,Filiz Parkı,29.3152524635390002,40.8219660221099971,CAMİ,TUZLA
170,Kamilya Parkı,29.0748508670099994,41.0339056934708992,FERAH,ÜSKÜDAR
171,Nene Hatun Parkı,29.230663440675599,41.0168197789758011,AYDINLAR,ÇEKMEKÖY
172,Barış Manço Parkı,29.2268267917741014,41.0212378240226982,CUMHURİYET,ÇEKMEKÖY
173,Mehmet Akif Ersoy Parkı,28.8934738806877007,41.1760653451741021,GÖKTÜRK MERKEZ,EYÜPSULTAN
174,Fen Sok. Parkı,29.2582826758509,40.8926506403370027,VELİBABA,PENDİK
175,Tunuslu Mahmut Paşa Parkı,29.0526509680218012,41.0255159872777995,BURHANİYE,ÜSKÜDAR
176,Çamlık Parkı,29.0728320542297993,41.0190967859615014,BULGURLU,ÜSKÜDAR
